  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
     1,   P-31850,   2022/11/01 14:17:39,           1-01,       1,        -3.391,        -8.907,       -77.207,         1.327,         21627,      -1,    1,        W-3 / NLGQLH_1_1_5 / 208 / 808 /,                              DIW Wash P,                 H2O, 1667337734.34,         0.205,         0.186,         0.331,         0.155,       168.005,         0.002,         0.001,         2.725,        79.299,        27.114,         0.994,        72.775,         1.172,        -0.888,        0.0000,        0.0000,    0,        42.188,         1,       1,       1,Picarro IAEA,       0,       1
     2,   P-31850,   2022/11/01 14:26:41,           1-01,       2,        -3.302,        -8.738,       -76.034,         1.326,         21527,      -1,    1,        W-3 / NLGQLH_1_1_5 / 208 / 808 /,                              DIW Wash P,                 H2O, 1667338275.61,         0.206,         0.187,         0.344,         0.154,       161.852,         0.002,         0.001,         2.587,        78.730,        26.972,         0.993,        72.259,         1.173,        -0.886,       -0.0000,        0.0000,    0,        42.188,         1,       1,       1,Picarro IAEA,       0,       1
     3,   P-31850,   2022/11/01 14:35:43,           1-01,       3,        -3.296,        -8.717,       -75.873,         1.322,         21517,      -1,    1,        W-3 / NLGQLH_1_1_5 / 208 / 808 /,                              DIW Wash P,                 H2O, 1667338818.77,         0.174,         0.176,         0.349,         0.137,       158.880,         0.001,         0.002,         2.530,        78.660,        26.934,         0.994,        72.256,         1.172,        -0.870,       -0.0000,        0.0000,    0,        42.125,         1,       1,       1,Picarro IAEA,       0,       1
     4,   P-31850,   2022/11/01 14:44:46,           1-01,       4,        -3.280,        -8.703,       -75.902,         1.330,         21488,       0,    1,        W-3 / NLGQLH_1_1_5 / 208 / 808 /,                              DIW Wash P,                 H2O, 1667339361.28,         0.192,         0.201,         0.361,         0.135,       152.537,         0.002,         0.002,         2.446,        78.538,        26.920,         0.979,        72.041,         1.169,        -0.958,        0.0000,       -0.0000,    0,        42.062,         1,       1,       1,Picarro IAEA,       0,       1
     5,   P-31850,   2022/11/01 14:53:48,           1-01,       5,        -3.299,        -8.725,       -75.815,         1.323,         21438,       0,    1,        W-3 / NLGQLH_1_1_5 / 208 / 808 /,                              DIW Wash P,                 H2O, 1667339902.47,         0.182,         0.205,         0.330,         0.131,       152.195,         0.002,         0.002,         2.419,        78.283,        26.800,         0.989,        72.334,         1.173,        -0.878,       -0.0000,        0.0000,    0,        42.000,         1,       1,       1,Picarro IAEA,       0,       1
     6,   P-31850,   2022/11/01 15:02:50,           1-01,       6,        -3.281,        -8.699,       -75.815,         1.327,         21480,       0,    1,        W-3 / NLGQLH_1_1_5 / 208 / 808 /,                              DIW Wash P,                 H2O, 1667340445.37,         0.190,         0.213,         0.394,         0.143,       153.776,         0.002,         0.003,         2.439,        78.453,        26.981,         0.984,        71.993,         1.171,        -0.900,        0.0000,        0.0000,    0,        41.938,         1,       1,       1,Picarro IAEA,       0,       1
     7,   P-31850,   2022/11/01 15:11:53,           1-01,       7,        -3.276,        -8.702,       -75.813,         1.334,         21481,       0,    1,        W-3 / NLGQLH_1_1_5 / 208 / 808 /,                              DIW Wash P,                 H2O, 1667340988.33,         0.195,         0.186,         0.436,         0.150,       151.082,         0.002,         0.003,         2.398,        78.431,        27.065,         0.977,        71.813,         1.170,        -0.929,        0.0000,        0.0000,    0,        41.875,         1,       1,       1,Picarro IAEA,       0,       1
     8,   P-31850,   2022/11/01 15:20:55,           1-01,       8,        -3.268,        -8.690,       -75.875,         1.334,         21449,       0,    1,        W-3 / NLGQLH_1_1_5 / 208 / 808 /,                              DIW Wash P,                 H2O, 1667341530.12,         0.187,         0.183,         0.371,         0.141,       149.103,         0.002,         0.002,         2.379,        78.364,        26.846,         0.982,        71.893,         1.172,        -0.942,        0.0000,        0.0000,    0,        41.875,         1,       1,       1,Picarro IAEA,       0,       1
     9,   P-31850,   2022/11/01 15:29:57,           1-01,       9,        -3.318,        -8.722,       -75.773,         1.302,         21585,       0,    1,        W-3 / NLGQLH_1_1_5 / 208 / 808 /,                              DIW Wash P,                 H2O, 1667342072.86,         0.198,         0.204,         0.373,         0.136,       149.813,         0.002,         0.002,         2.371,        78.812,        27.150,         0.995,        72.478,         1.172,        -0.851,       -0.0000,       -0.0000,    0,        41.812,         1,       1,       1,Picarro IAEA,       0,       1
    10,   P-31850,   2022/11/01 15:39:00,           1-01,      10,        -3.286,        -8.711,       -75.806,         1.328,         21429,       0,    1,        W-3 / NLGQLH_1_1_5 / 208 / 808 /,                              DIW Wash P,                 H2O, 1667342614.91,         0.185,         0.176,         0.373,         0.141,       150.782,         0.001,         0.002,         2.404,        78.209,        26.865,         0.980,        71.927,         1.171,        -0.887,        0.0000,        0.0000,    0,        41.750,         1,       1,       1,Picarro IAEA,       0,       1
