  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
     1,   Q-13899,   2022/10/28 08:54:50,           1-01,       1,        -7.089,       -13.256,       -76.154,        -0.068,         19576,      -1,    1,        W-3 / GPHSKP_1_1_5 / 208 / 808 /,                           W-3 Picarro Q,                 H2O, 1666947560.34,         0.270,         0.257,         0.396,         0.184,       148.681,         0.003,         0.003,         2.501,        90.514,        33.620,         1.067,        77.370,         0.937,         0.244,       -0.0000,        0.0000,    0,        41.812,         1,       1,       1,Picarro IAEA,       0,       1
     2,   Q-13899,   2022/10/28 09:03:51,           1-01,       2,        -6.992,       -13.015,       -74.114,        -0.099,         20322,      -1,    1,        W-3 / GPHSKP_1_1_5 / 208 / 808 /,                           W-3 Picarro Q,                 H2O, 1666948105.87,         0.254,         0.275,         0.362,         0.169,       146.300,         0.003,         0.002,         2.351,        94.021,        34.987,         1.107,        80.283,         0.937,         0.299,       -0.0000,       -0.0000,    0,        41.688,         1,       1,       1,Picarro IAEA,       0,       1
     3,   Q-13899,   2022/10/28 09:12:52,           1-01,       3,        -6.987,       -13.059,       -74.063,        -0.071,         19289,      -1,    1,        W-3 / GPHSKP_1_1_5 / 208 / 808 /,                           W-3 Picarro Q,                 H2O, 1666948646.65,         0.236,         0.252,         0.349,         0.162,       141.604,         0.002,         0.002,         2.290,        88.368,        33.365,         1.043,        75.970,         0.938,         0.214,        0.0000,       -0.0000,    0,        41.812,         1,       1,       1,Picarro IAEA,       0,       1
     4,   Q-13899,   2022/10/28 09:21:53,           1-01,       4,        -7.036,       -13.061,       -74.059,        -0.119,         19455,       0,    1,        W-3 / GPHSKP_1_1_5 / 208 / 808 /,                           W-3 Picarro Q,                 H2O, 1666949188.40,         0.235,         0.239,         0.382,         0.170,       140.927,         0.002,         0.003,         2.268,        89.205,        33.702,         1.057,        76.724,         0.938,         0.300,        0.0000,        0.0000,    0,        41.812,         1,       1,       1,Picarro IAEA,       0,       1
     5,   Q-13899,   2022/10/28 09:30:54,           1-01,       5,        -7.029,       -13.076,       -74.085,        -0.105,         19693,       0,    1,        W-3 / GPHSKP_1_1_5 / 208 / 808 /,                           W-3 Picarro Q,                 H2O, 1666949724.32,         0.244,         0.254,         0.364,         0.160,       137.538,         0.003,         0.002,         2.302,        90.454,        34.089,         1.072,        77.784,         0.937,         0.290,       -0.0000,        0.0000,    0,        41.938,         1,       1,       1,Picarro IAEA,       0,       1
     6,   Q-13899,   2022/10/28 09:39:55,           1-01,       6,        -6.982,       -13.049,       -74.044,        -0.072,         19320,       0,    1,        W-3 / GPHSKP_1_1_5 / 208 / 808 /,                           W-3 Picarro Q,                 H2O, 1666950270.44,         0.254,         0.242,         0.419,         0.183,       141.543,         0.002,         0.004,         2.264,        88.540,        33.438,         1.046,        75.928,         0.937,         0.265,       -0.0000,       -0.0000,    0,        41.938,         1,       1,       1,Picarro IAEA,       0,       1
     7,   Q-13899,   2022/10/28 09:48:56,           1-01,       7,        -7.040,       -13.096,       -74.076,        -0.105,         19422,       0,    1,        W-3 / GPHSKP_1_1_5 / 208 / 808 /,                           W-3 Picarro Q,                 H2O, 1666950810.53,         0.224,         0.233,         0.378,         0.151,       141.079,         0.002,         0.003,         2.267,        88.970,        33.769,         1.045,        76.442,         0.937,         0.330,       -0.0000,        0.0000,    0,        41.875,         1,       1,       1,Picarro IAEA,       0,       1
     8,   Q-13899,   2022/10/28 09:57:57,           1-01,       8,        -6.992,       -13.069,       -74.066,        -0.071,         19317,       0,    1,        W-3 / GPHSKP_1_1_5 / 208 / 808 /,                           W-3 Picarro Q,                 H2O, 1666951352.50,         0.255,         0.239,         0.385,         0.181,       138.320,         0.002,         0.002,         2.228,        88.528,        33.401,         1.044,        75.945,         0.938,         0.191,        0.0000,       -0.0000,    0,        41.812,         1,       1,       1,Picarro IAEA,       0,       1
     9,   Q-13899,   2022/10/28 10:06:57,           1-01,       9,        -6.999,       -13.077,       -74.086,        -0.073,         19429,       0,    1,        W-3 / GPHSKP_1_1_5 / 208 / 808 /,                           W-3 Picarro Q,                 H2O, 1666951891.89,         0.245,         0.244,         0.349,         0.178,       139.455,         0.002,         0.002,         2.241,        89.114,        33.739,         1.041,        75.999,         0.938,         0.253,        0.0000,       -0.0000,    0,        41.812,         1,       1,       1,Picarro IAEA,       0,       1
    10,   Q-13899,   2022/10/28 10:15:59,           1-01,      10,        -7.037,       -13.074,       -74.034,        -0.114,         19582,       0,    1,        W-3 / GPHSKP_1_1_5 / 208 / 808 /,                           W-3 Picarro Q,                 H2O, 1666952433.52,         0.250,         0.245,         0.359,         0.172,       138.998,         0.002,         0.002,         2.234,        89.885,        33.846,         1.061,        77.304,         0.936,         0.269,       -0.0000,        0.0000,    0,        41.688,         1,       1,       1,Picarro IAEA,       0,       1
